set,algo,seed,iters,pair_parent,runtime_s,soft,hard,feasible,error
set7,tabu_cached,43,1000,tabu_cached,3.806859,10040,0,True,
set7,tabu_cuda,43,1000,tabu_cached,2.912007,10040,0,True,
set7,tabu_cached,44,1000,tabu_cached,2.738975,9216,0,True,
set7,tabu_cuda,44,1000,tabu_cached,2.790723,9216,0,True,
set7,sa_cached,42,5000,sa_cached,3.140889,19021,0,True,
set7,sa_parallel_cuda,42,5000,sa_cached,0.583323,43602,15,False,
set7,sa_cached,43,5000,sa_cached,2.702471,18345,0,True,
set7,sa_parallel_cuda,43,5000,sa_cached,0.552084,42037,16,False,
set7,sa_cached,44,5000,sa_cached,2.57169,18641,0,True,
set7,sa_parallel_cuda,44,5000,sa_cached,0.533176,35736,18,False,
set7,alns_thompson,42,500,alns_thompson,6.643187,32036,0,True,
set7,alns_cuda,42,500,alns_thompson,6.402353,32036,0,True,
set7,alns_thompson,43,500,alns_thompson,4.709836,70553,0,True,
set7,alns_cuda,43,500,alns_thompson,4.928489,70553,0,True,
set7,alns_thompson,44,500,alns_thompson,8.808294,15416,0,True,
set7,alns_cuda,44,500,alns_thompson,8.297781,15416,0,True,
set7,ga,42,100,ga,5.913754,13045,0,True,
set7,ga_cuda,42,100,ga,7.325822,11925,0,True,
set7,ga,43,100,ga,5.644081,12621,0,True,
set7,ga_cuda,43,100,ga,7.191004,11907,0,True,
set7,ga,44,100,ga,5.828358,12068,0,True,
set7,ga_cuda,44,100,ga,7.577065,12133,0,True,
set7,abc,42,500,abc,10.166756,12468,0,True,
set7,abc_cuda,42,500,abc,10.983275,12468,0,True,
set7,abc,43,500,abc,10.81082,12645,0,True,
set7,abc_cuda,43,500,abc,10.908604,12645,0,True,
set7,abc,44,500,abc,10.451959,12533,0,True,
set7,abc_cuda,44,500,abc,10.780314,12533,0,True,
set7,hho,42,100,hho,12.628201,240988,0,True,
set7,hho_cuda,42,100,hho,9.255269,240988,0,True,
set7,hho,43,100,hho,13.659869,240884,0,True,
set7,hho_cuda,43,100,hho,10.640816,240884,0,True,
set7,hho,44,100,hho,12.18915,224884,0,True,
set7,hho_cuda,44,100,hho,9.929428,224884,0,True,
set7,woa,42,300,woa,11.609214,17633,0,True,
set7,woa_cuda,42,300,woa,11.606363,17633,0,True,
set7,woa,43,300,woa,11.750386,17588,0,True,
set7,woa_cuda,43,300,woa,12.015991,17588,0,True,
set7,woa,44,300,woa,11.691881,17009,0,True,
set7,woa_cuda,44,300,woa,11.778805,17009,0,True,
set8,tabu_cached,42,1000,tabu_cached,1.11236,13946,0,True,
set8,tabu_cuda,42,1000,tabu_cached,1.358068,13946,0,True,
set8,tabu_cached,43,1000,tabu_cached,1.235309,13799,0,True,
set8,tabu_cuda,43,1000,tabu_cached,1.452557,13799,0,True,
set8,tabu_cached,44,1000,tabu_cached,1.126017,13969,0,True,
set8,tabu_cuda,44,1000,tabu_cached,1.31727,13969,0,True,
set8,sa_cached,42,5000,sa_cached,1.51181,20004,0,True,
set8,sa_parallel_cuda,42,5000,sa_cached,0.34303,38847,15,False,
set8,sa_cached,43,5000,sa_cached,1.217123,22942,0,True,
set8,sa_parallel_cuda,43,5000,sa_cached,0.292497,39881,8,False,
set8,sa_cached,44,5000,sa_cached,1.011696,19581,0,True,
set8,sa_parallel_cuda,44,5000,sa_cached,0.280725,37421,9,False,
set8,alns_thompson,42,500,alns_thompson,1.871133,18572,0,True,
set8,alns_cuda,42,500,alns_thompson,2.453891,18572,0,True,
set8,alns_thompson,43,500,alns_thompson,2.551599,37321,0,True,
set8,alns_cuda,43,500,alns_thompson,4.721966,37321,0,True,
set8,alns_thompson,44,500,alns_thompson,1.539471,18056,0,True,
set8,alns_cuda,44,500,alns_thompson,2.313284,18056,0,True,
set8,ga,42,100,ga,3.22666,19597,0,True,
set8,ga_cuda,42,100,ga,5.949147,19564,0,True,
set8,ga,43,100,ga,4.739095,17003,0,True,
