algorithm,param_col,param_value,dataset,seed,soft_penalty,runtime,feasible,hard,status,wall
lahc,lahc_iters,2659,synthetic_scaling_1000,42,26148,1.682135,True,0,ok,9.77
kempe,kempe_iters,20000,synthetic_scaling_1000,42,7308,28.999106,True,0,ok,36.6
kempe,kempe_iters,20000,synthetic_scaling_1000,43,9704,28.961239,True,0,ok,37.01
lahc,lahc_iters,2659,synthetic_scaling_1000,43,22346,1.541184,True,0,ok,9.58
lahc,lahc_iters,2659,synthetic_scaling_1000,44,26698,1.41253,True,0,ok,8.87
kempe,kempe_iters,20000,synthetic_scaling_1000,44,8752,29.060371,True,0,ok,36.86
lahc,lahc_iters,7071,synthetic_scaling_1000,42,10659,3.559976,True,0,ok,11.09
lahc,lahc_iters,7071,synthetic_scaling_1000,43,12299,3.43769,True,0,ok,11.68
lahc,lahc_iters,7071,synthetic_scaling_1000,44,14910,3.320213,True,0,ok,11.43
alns,alns_iters,20000,synthetic_scaling_1000,43,12467,421.375583,True,0,ok,429.49
lahc,lahc_iters,18803,synthetic_scaling_1000,42,4823,6.769073,True,0,ok,14.85
lahc,lahc_iters,18803,synthetic_scaling_1000,43,6110,6.182967,True,0,ok,13.81
lahc,lahc_iters,18803,synthetic_scaling_1000,44,6848,6.305625,True,0,ok,14.43
lahc,lahc_list,0,synthetic_scaling_1000,42,15866,2.692154,True,0,ok,11.02
lahc,lahc_list,0,synthetic_scaling_1000,43,14823,2.625809,True,0,ok,10.0
lahc,lahc_iters,50000,synthetic_scaling_1000,42,3937,12.392728,True,0,ok,20.15
lahc,lahc_iters,50000,synthetic_scaling_1000,43,4082,12.365974,True,0,ok,20.49
lahc,lahc_list,0,synthetic_scaling_1000,44,18862,2.841199,True,0,ok,11.0
lahc,lahc_iters,50000,synthetic_scaling_1000,44,5605,12.93848,True,0,ok,20.72
lahc,lahc_list,1250,synthetic_scaling_1000,42,15866,2.764505,True,0,ok,10.29
lahc,lahc_list,1250,synthetic_scaling_1000,43,14823,2.489306,True,0,ok,10.4
lahc,lahc_list,2500,synthetic_scaling_1000,42,15866,2.272165,True,0,ok,9.82
lahc,lahc_list,1250,synthetic_scaling_1000,44,18862,2.692103,True,0,ok,11.11
lahc,lahc_list,2500,synthetic_scaling_1000,43,14823,2.908297,True,0,ok,10.48
lahc,lahc_list,2500,synthetic_scaling_1000,44,18862,2.281084,True,0,ok,10.79
lahc,lahc_list,3750,synthetic_scaling_1000,42,15866,2.671168,True,0,ok,10.56
lahc,lahc_list,3750,synthetic_scaling_1000,43,14823,2.31337,True,0,ok,10.28
lahc,lahc_list,3750,synthetic_scaling_1000,44,18862,2.209864,True,0,ok,10.22
lahc,lahc_list,5000,synthetic_scaling_1000,42,15866,2.577905,True,0,ok,10.72
lahc,lahc_list,5000,synthetic_scaling_1000,43,14823,2.60946,True,0,ok,10.63
lahc,lahc_list,5000,synthetic_scaling_1000,44,18862,2.729415,True,0,ok,10.74
sa,sa_iters,1000,synthetic_scaling_1000,42,47864,0.651347,True,0,ok,8.97
sa,sa_iters,1000,synthetic_scaling_1000,43,45991,0.625316,True,0,ok,9.17
sa,sa_iters,1000,synthetic_scaling_1000,44,44624,0.669452,True,0,ok,8.76
sa,sa_iters,2659,synthetic_scaling_1000,42,32249,1.403326,True,0,ok,9.52
sa,sa_iters,2659,synthetic_scaling_1000,43,32361,1.36149,True,0,ok,9.78
sa,sa_iters,2659,synthetic_scaling_1000,44,30529,1.168284,True,0,ok,8.8
