algorithm,num_exams,seed,soft_penalty,runtime,feasible,hard
Genetic Algorithm,100,44,20424,2.67568,False,329
Genetic Algorithm,150,42,23960,4.472551,False,326
Genetic Algorithm,150,43,23513,7.948778,False,288
Genetic Algorithm,150,44,23491,5.608709,False,334
Genetic Algorithm,200,42,25719,3.818446,False,128
Genetic Algorithm,200,43,30406,3.172575,False,124
Genetic Algorithm,200,44,26378,6.883201,False,64
Genetic Algorithm,250,42,29778,4.853415,False,52
Genetic Algorithm,250,43,31193,5.553497,False,24
Genetic Algorithm,250,44,30604,5.279678,False,46
Genetic Algorithm,300,42,29175,5.684443,False,4
Genetic Algorithm,300,43,31546,6.595564,False,12
Genetic Algorithm,300,44,26651,5.689047,False,6
Genetic Algorithm,350,42,22403,2.79513,False,2
Genetic Algorithm,350,43,23596,3.622905,False,2
Genetic Algorithm,350,44,22446,3.776681,False,2
Genetic Algorithm,400,42,17407,2.441171,True,0
Genetic Algorithm,400,43,16486,2.345341,True,0
Genetic Algorithm,400,44,16886,2.272837,True,0
Genetic Algorithm,450,42,19249,2.969608,True,0
Genetic Algorithm,450,43,20441,2.126334,True,0
Genetic Algorithm,450,44,25363,2.410823,True,0
Genetic Algorithm,500,42,21819,2.380559,True,0
Genetic Algorithm,500,43,33391,2.189531,True,0
Genetic Algorithm,500,44,22185,2.643799,True,0
Genetic Algorithm,50,42,11493,0.957439,False,371
Genetic Algorithm,50,43,11684,0.781809,False,384
Genetic Algorithm,50,44,11460,0.665834,False,397
Genetic Algorithm,550,42,16883,3.042233,True,0
Genetic Algorithm,550,43,14935,2.99104,True,0
Genetic Algorithm,550,44,14402,3.157426,True,0
Genetic Algorithm,600,42,15196,3.118519,True,0
Genetic Algorithm,600,43,15403,2.993697,True,0
Genetic Algorithm,600,44,14539,2.796233,True,0
Genetic Algorithm,650,42,12311,2.992509,True,0
Genetic Algorithm,650,43,12452,3.228783,True,0
Genetic Algorithm,650,44,15151,3.092033,True,0
Genetic Algorithm,700,42,13357,3.753002,True,0
Genetic Algorithm,700,43,12208,3.554504,True,0
Genetic Algorithm,700,44,9834,3.633357,True,0
Genetic Algorithm,750,42,9973,4.512187,True,0
Genetic Algorithm,750,43,9187,4.388796,True,0
Genetic Algorithm,750,44,8165,4.45907,True,0
Genetic Algorithm,800,42,10407,4.358767,True,0
Genetic Algorithm,800,43,17325,3.819775,True,0
Genetic Algorithm,800,44,25120,3.113386,True,0
Genetic Algorithm,850,42,14279,4.078585,True,0
Genetic Algorithm,850,43,18878,4.66852,True,0
Genetic Algorithm,850,44,20047,4.217212,True,0
Genetic Algorithm,900,42,30327,3.892015,True,0
Genetic Algorithm,900,43,27929,3.292083,True,0
Genetic Algorithm,900,44,14386,3.809394,True,0
Genetic Algorithm,950,42,7564,5.198903,True,0
Genetic Algorithm,950,43,8890,5.511744,True,0
Genetic Algorithm,950,44,12236,4.314562,True,0
Great Deluge,1000,42,78444,1.884171,True,0
Great Deluge,1000,43,52810,2.040688,True,0
Great Deluge,1000,44,47394,2.309317,True,0
Great Deluge,100,42,19955,2.183964,False,318
Great Deluge,100,43,20070,2.316439,False,329
Great Deluge,100,44,20772,2.25406,False,337
Great Deluge,150,42,26540,3.918845,False,293
Great Deluge,150,43,26802,3.78043,False,319
Great Deluge,150,44,27833,3.553566,False,292
Great Deluge,200,42,31227,2.601515,False,111
Great Deluge,200,43,30710,2.53011,False,105
Great Deluge,200,44,27163,2.457331,False,113
Great Deluge,250,42,32392,4.008012,False,28
Great Deluge,250,43,34926,4.139293,False,23
Great Deluge,250,44,33328,3.868964,False,29
Great Deluge,300,42,29229,3.452238,False,4
Great Deluge,300,43,35788,3.213957,False,14
Great Deluge,300,44,27956,3.424405,False,5
Great Deluge,350,42,27281,2.77358,False,1
Great Deluge,350,43,35953,2.359994,False,1
Great Deluge,350,44,24216,2.174114,False,1
Great Deluge,400,42,24704,0.888334,True,0
Great Deluge,400,43,26291,0.983555,True,0
Great Deluge,400,44,20772,1.044084,True,0
Great Deluge,450,42,23444,1.27228,True,0
Great Deluge,450,43,31119,1.223563,True,0
Great Deluge,450,44,37622,1.041714,True,0
Great Deluge,500,42,25984,1.037515,True,0
Great Deluge,500,43,22623,1.424092,True,0
Great Deluge,500,44,38156,1.18286,True,0
Great Deluge,50,42,15095,0.57349,False,364
Great Deluge,50,43,14446,0.551911,False,386
Great Deluge,50,44,16023,0.565531,False,377
Great Deluge,550,42,46746,1.2866,True,0
Great Deluge,550,43,34842,1.265326,True,0
Great Deluge,550,44,45357,1.232195,True,0
Great Deluge,600,42,25329,1.416541,True,0
Great Deluge,600,43,29216,1.212924,True,0
Great Deluge,600,44,38943,1.356575,True,0
Great Deluge,650,42,36016,1.245765,True,0
Great Deluge,650,43,43029,1.138514,True,0
Great Deluge,650,44,40004,1.36253,True,0
Great Deluge,700,42,50027,1.661852,True,0
Great Deluge,700,43,34829,1.720377,True,0
Great Deluge,700,44,46527,1.347657,True,0
Great Deluge,750,42,49961,1.551502,True,0
Great Deluge,750,43,49485,1.315319,True,0
Great Deluge,750,44,28095,1.495086,True,0
Great Deluge,800,42,43778,1.439873,True,0
Great Deluge,800,43,42338,1.894849,True,0
Great Deluge,800,44,51507,1.284427,True,0
Great Deluge,850,42,68538,1.752441,True,0
Great Deluge,850,43,42056,2.022609,True,0
Great Deluge,850,44,64466,1.69369,True,0
Great Deluge,900,42,28146,2.179299,True,0
Great Deluge,900,43,44199,1.794424,True,0
Great Deluge,900,44,28989,1.852967,True,0
Great Deluge,950,42,34829,2.192783,True,0
Great Deluge,950,43,73261,1.604039,True,0
Great Deluge,950,44,70268,1.53149,True,0
Greedy,1000,42,75595,0.746609,False,2
Greedy,1000,43,75595,0.772353,False,2
Greedy,1000,44,75595,0.77457,False,2
Greedy,100,42,18457,0.169922,False,343
Greedy,100,43,18457,0.170304,False,343
Greedy,100,44,18457,0.170887,False,343
Greedy,150,42,25044,0.493668,False,332
Greedy,150,43,25044,0.403987,False,332
Greedy,150,44,25044,0.482524,False,332
Greedy,200,42,28877,0.118222,False,238
Greedy,200,43,28877,0.284822,False,238
Greedy,200,44,28877,0.302984,False,238
Greedy,250,42,34446,0.456867,False,47
Greedy,250,43,34446,0.604288,False,47
Greedy,250,44,34446,0.382282,False,47
Greedy,300,42,40597,0.106982,False,20
Greedy,300,43,40597,0.132962,False,20
Greedy,300,44,40597,0.089876,False,20
Greedy,350,42,36261,0.030451,False,2
Greedy,350,43,36261,0.019096,False,2
Greedy,350,44,36261,0.020222,False,2
Greedy,400,42,33358,0.020829,True,0
Greedy,400,43,33358,0.018822,True,0
Greedy,400,44,33358,0.022133,True,0
Greedy,450,42,48220,0.050078,True,0
Greedy,450,43,48220,0.053568,True,0
Greedy,450,44,48220,0.047984,True,0
Greedy,500,42,43485,0.172351,True,0
Greedy,500,43,43485,0.143321,True,0
Greedy,500,44,43485,0.082529,True,0
Greedy,50,42,11070,0.022162,False,393
Greedy,50,43,11070,0.024269,False,393
Greedy,50,44,11070,0.021889,False,393
Greedy,550,42,58516,0.113058,True,0
Greedy,550,43,58516,0.228263,True,0
Greedy,550,44,58516,0.238904,True,0
Greedy,600,42,52038,0.409728,True,0
Greedy,600,43,52038,0.186951,True,0
Greedy,600,44,52038,0.132534,True,0
Greedy,650,42,62180,0.132182,False,1
Greedy,650,43,62180,0.155603,False,1
Greedy,650,44,62180,0.080928,False,1
Greedy,700,42,60580,0.249319,True,0
Greedy,700,43,60580,0.344009,True,0
Greedy,700,44,60580,0.496957,True,0
Greedy,750,42,52050,0.245983,True,0
Greedy,750,43,52050,0.243358,True,0
Greedy,750,44,52050,0.278329,True,0
Greedy,800,42,69206,0.149591,False,1
Greedy,800,43,69206,0.151431,False,1
Greedy,800,44,69206,0.147033,False,1
Greedy,850,42,68600,0.372505,True,0
Greedy,850,43,68600,0.236445,True,0
Greedy,850,44,68600,0.39881,True,0
Greedy,900,42,80910,0.488163,True,0
Greedy,900,43,80910,0.447795,True,0
Greedy,900,44,80910,0.481256,True,0
Greedy,950,42,80370,0.719182,True,0
Greedy,950,43,80370,0.776824,True,0
Greedy,950,44,80370,0.73435,True,0
HHO+,1000,42,65556,61.818715,True,0
HHO+,1000,43,52354,64.771689,True,0
HHO+,1000,44,54157,66.495347,True,0
HHO+,100,42,17921,4.18762,False,366
HHO+,100,43,19114,4.267569,False,344
HHO+,100,44,18611,4.16138,False,347
HHO+,150,42,25400,6.562872,False,334
HHO+,150,43,25179,6.954373,False,338
HHO+,150,44,24588,6.468452,False,349
HHO+,200,42,29778,9.305713,False,157
HHO+,200,43,31150,9.227944,False,157
HHO+,200,44,30349,8.08908,False,122
HHO+,250,42,36929,10.680594,False,32
HHO+,250,43,36395,10.720092,False,29
HHO+,250,44,37462,11.216433,False,44
HHO+,300,42,35905,14.167373,False,3
HHO+,300,43,38912,13.855458,False,6
HHO+,300,44,41002,13.867202,False,3
HHO+,350,42,36923,17.231119,False,2
HHO+,350,43,37226,16.912208,False,2
HHO+,350,44,34969,16.928086,False,2
HHO+,400,42,24434,18.558606,True,0
HHO+,400,43,22116,18.188666,True,0
HHO+,400,44,21134,17.440522,True,0
HHO+,450,42,29596,20.821594,True,0
HHO+,450,43,25350,21.600394,True,0
HHO+,450,44,33471,21.66875,True,0
HHO+,500,42,32806,22.227981,True,0
HHO+,500,43,29536,24.238726,True,0
HHO+,500,44,31399,23.91435,True,0
HHO+,50,42,12451,1.79679,False,611
HHO+,50,43,11904,1.785079,False,642
HHO+,50,44,10807,1.530512,False,628
HHO+,550,42,35117,28.307712,True,0
HHO+,550,43,40172,26.611626,True,0
HHO+,550,44,34182,28.550585,True,0
HHO+,600,42,39469,30.37017,True,0
HHO+,600,43,34285,29.489334,True,0
HHO+,600,44,43009,31.096033,True,0
HHO+,650,42,28354,32.152097,True,0
HHO+,650,43,27692,34.93615,True,0
HHO+,650,44,33627,34.772156,True,0
HHO+,700,42,42468,35.942567,True,0
HHO+,700,43,40118,35.850285,True,0
HHO+,700,44,34085,35.473598,True,0
HHO+,750,42,37135,40.428252,True,0
HHO+,750,43,36112,39.301367,True,0
HHO+,750,44,33606,40.668192,True,0
HHO+,800,42,38712,45.293127,True,0
HHO+,800,43,41573,43.065312,True,0
HHO+,800,44,38430,46.385544,True,0
HHO+,850,42,55082,50.95369,True,0
HHO+,850,43,52971,47.011259,True,0
HHO+,850,44,52710,51.102566,True,0
HHO+,900,42,43248,50.495158,True,0
HHO+,900,43,47641,51.378838,True,0
HHO+,900,44,49360,52.858387,True,0
HHO+,950,42,64431,56.549468,True,0
HHO+,950,43,61582,57.527779,True,0
HHO+,950,44,64674,52.518396,True,0
Kempe Chain,1000,42,10489,15.059486,True,0
Kempe Chain,1000,43,11960,15.769334,True,0
Kempe Chain,1000,44,9876,15.96358,True,0
Kempe Chain,100,42,17459,9.987963,False,365
Kempe Chain,100,43,18637,10.133065,False,343
Kempe Chain,100,44,18293,9.834011,False,345
Kempe Chain,150,42,22739,13.500998,False,332
Kempe Chain,150,43,22477,13.988582,False,337
Kempe Chain,150,44,22638,13.729849,False,347
Kempe Chain,200,42,22798,11.261765,False,212
Kempe Chain,200,43,22188,10.596411,False,144
Kempe Chain,200,44,19285,11.539321,False,68
Kempe Chain,250,42,24424,11.274269,False,23
Kempe Chain,250,43,29071,13.321251,False,20
Kempe Chain,250,44,26928,12.388381,False,21
Kempe Chain,300,42,18025,10.346132,False,3
Kempe Chain,300,43,20951,11.952262,False,9
Kempe Chain,300,44,18513,9.56714,False,4
Kempe Chain,350,42,15868,9.640402,False,1
Kempe Chain,350,43,23622,12.393739,False,1
Kempe Chain,350,44,16387,9.486737,False,1
Kempe Chain,400,42,14076,10.079823,True,0
Kempe Chain,400,43,12975,9.870953,True,0
Kempe Chain,400,44,13712,10.092577,True,0
Kempe Chain,450,42,15075,10.493799,True,0
Kempe Chain,450,43,14948,9.986778,True,0
Kempe Chain,450,44,15416,10.548325,True,0
Kempe Chain,500,42,12493,8.210557,True,0
Kempe Chain,500,43,13707,9.08688,True,0
Kempe Chain,500,44,12981,9.405296,True,0
Kempe Chain,50,42,11301,5.902242,False,400
Kempe Chain,50,43,11269,6.74613,False,407
Kempe Chain,50,44,11475,6.646206,False,394
Kempe Chain,550,42,12419,11.904057,True,0
Kempe Chain,550,43,12080,12.036107,True,0
Kempe Chain,550,44,12217,11.760041,True,0
Kempe Chain,600,42,10985,11.359995,True,0
Kempe Chain,600,43,11170,10.49432,True,0
Kempe Chain,600,44,10909,11.325547,True,0
Kempe Chain,650,42,10470,11.82425,True,0
Kempe Chain,650,43,10088,12.292679,True,0
Kempe Chain,650,44,9967,11.714553,True,0
Kempe Chain,700,42,11178,12.007301,True,0
Kempe Chain,700,43,10758,12.429567,True,0
Kempe Chain,700,44,10100,12.494728,True,0
Kempe Chain,750,42,10151,12.725761,True,0
Kempe Chain,750,43,9909,11.979735,True,0
Kempe Chain,750,44,10231,13.738919,True,0
Kempe Chain,800,42,11079,14.057795,True,0
Kempe Chain,800,43,13099,13.332048,True,0
Kempe Chain,800,44,10258,13.718329,True,0
Kempe Chain,850,42,11573,14.36161,True,0
Kempe Chain,850,43,12914,14.501059,True,0
Kempe Chain,850,44,14231,13.888386,True,0
Kempe Chain,900,42,10550,13.576695,True,0
Kempe Chain,900,43,10803,13.120302,True,0
Kempe Chain,900,44,11561,12.506944,True,0
